Image Pat,Time frame,IMU PITCH,GPS,
data/ 1.jpg,23700.91,0.221883,0,10.30224
data/ 2.jpg,23734.25,0.217425,0,10.30224
data/ 3.jpg,23767.58,0.212801,-0.09144,10.2108
data/ 4.jpg,23800.91,0.213558,-0.09144,10.2108
data/ 5.jpg,23834.24,0.212243,-0.09144,10.2108
data/ 6.jpg,23867.57,0.216899,-0.09144,10.2108
data/ 7.jpg,23900.9,0.209893,-0.09144,10.2108
data/ 8.jpg,23934.24,0.214589,-0.09144,10.2108
data/ 9.jpg,23967.57,0.214982,-0.09144,10.2108
data/ 10.jpg,24000.9,0.212968,-0.09144,10.2108
data/ 11.jpg,24034.24,0.21757,-0.09144,10.2108
data/ 12.jpg,24067.57,0.21328,-0.09144,10.2108
data/ 13.jpg,24100.9,0.218631,-0.09144,10.2108
data/ 14.jpg,24134.24,0.21587,-0.09144,10.2108
data/ 15.jpg,24167.56,0.223469,-0.09144,10.2108
data/ 16.jpg,24200.89,0.232232,-0.09144,10.2108
data/ 17.jpg,24234.23,0.237785,-0.09144,10.2108
data/ 18.jpg,24267.56,0.237686,-0.09144,10.2108
data/ 19.jpg,24300.89,0.242835,-0.09144,10.2108
data/ 20.jpg,24334.23,0.236663,-0.09144,10.2108
data/ 21.jpg,24367.56,0.24179,-0.09144,10.2108
data/ 22.jpg,24400.89,0.243832,-0.09144,10.2108
data/ 23.jpg,24434.23,0.242124,-0.09144,10.2108
data/ 24.jpg,24467.56,0.246267,-0.09144,10.2108
data/ 25.jpg,24500.88,0.265101,-0.09144,10.2108
data/ 26.jpg,24534.22,0.269544,-0.09144,10.2108
data/ 27.jpg,24567.55,0.269227,-0.09144,10.2108
data/ 28.jpg,24600.88,0.273386,-0.09144,10.2108
data/ 29.jpg,24634.22,0.277008,-0.09144,10.2108
data/ 30.jpg,24667.55,0.272056,-0.09144,10.2108
data/ 31.jpg,24700.88,0.280847,-0.09144,10.2108
data/ 32.jpg,24734.22,0.281083,-0.09144,10.2108
data/ 33.jpg,24767.55,0.273747,-0.09144,10.2108
data/ 34.jpg,24800.88,0.262789,-0.09144,10.2108
data/ 35.jpg,24834.21,0.263611,-0.09144,10.2108
data/ 36.jpg,24867.54,0.261144,-0.09144,10.2108
data/ 37.jpg,24900.87,0.256968,-0.09144,10.2108
data/ 38.jpg,24934.21,0.253672,-0.09144,10.2108
data/ 39.jpg,24967.54,0.256768,-0.09144,10.2108
data/ 40.jpg,25000.87,0.25,-0.09144,10.2108
data/ 41.jpg,25034.21,0.258268,-0.09144,10.2108
data/ 42.jpg,25067.54,0.259177,-0.09144,10.2108
data/ 43.jpg,25100.87,0.260372,-0.09144,10.2108
data/ 44.jpg,25134.21,0.257609,-0.09144,10.2108
data/ 45.jpg,25167.53,0.263029,-0.09144,10.2108
data/ 46.jpg,25200.86,0.274114,-0.09144,10.2108
data/ 47.jpg,25234.2,0.27476,-0.09144,10.2108
data/ 48.jpg,25267.53,0.281716,-0.09144,10.2108
data/ 49.jpg,25300.86,0.278284,-0.09144,10.2108
data/ 50.jpg,25334.2,0.281231,-0.09144,10.2108
data/ 51.jpg,25367.53,0.289884,-0.09144,10.2108
data/ 52.jpg,25400.86,0.281077,-0.09144,10.2108
data/ 53.jpg,25434.2,0.286356,-0.12192,10.18032
data/ 54.jpg,25467.53,0.279263,-0.12192,10.18032
data/ 55.jpg,25500.85,0.281601,-0.12192,10.18032
data/ 56.jpg,25534.19,0.285412,-0.12192,10.18032
data/ 57.jpg,25567.52,0.277714,-0.12192,10.18032
data/ 58.jpg,25600.85,0.276223,-0.12192,10.18032
data/ 59.jpg,25634.19,0.271726,-0.12192,10.18032
data/ 60.jpg,25667.52,0.266874,-0.12192,10.18032
data/ 61.jpg,25700.85,0.271916,-0.12192,10.18032
data/ 62.jpg,25734.19,0.262067,-0.12192,10.18032
data/ 63.jpg,25767.52,0.260124,-0.12192,10.18032
data/ 64.jpg,25800.85,0.270976,-0.12192,10.18032
data/ 65.jpg,25834.18,0.261476,-0.12192,10.18032
data/ 66.jpg,25867.51,0.255367,-0.12192,10.18032
data/ 67.jpg,25900.84,0.247316,-0.12192,10.18032
data/ 68.jpg,25934.18,0.253535,-0.12192,10.18032
data/ 69.jpg,25967.51,0.256644,-0.12192,10.18032
data/ 70.jpg,26000.84,0.256345,-0.12192,10.18032
data/ 71.jpg,26034.18,0.250615,-0.12192,10.18032
data/ 72.jpg,26067.51,0.250451,-0.12192,10.18032
data/ 73.jpg,26100.84,0.25566,-0.12192,10.18032
data/ 74.jpg,26134.18,0.248853,-0.12192,10.18032
data/ 75.jpg,26167.5,0.247846,-0.12192,10.18032
data/ 76.jpg,26200.83,0.228987,-0.12192,10.18032
data/ 77.jpg,26234.17,0.220711,-0.12192,10.18032
data/ 78.jpg,26267.5,0.213448,-0.12192,10.18032
data/ 79.jpg,26300.83,0.20564,-0.12192,10.18032
data/ 80.jpg,26334.17,0.21047,-0.12192,10.18032
data/ 81.jpg,26367.5,0.209426,-0.12192,10.18032
data/ 82.jpg,26400.83,0.216897,-0.12192,10.18032
data/ 83.jpg,26434.17,0.211905,-0.12192,10.18032
data/ 84.jpg,26467.5,0.204381,-0.12192,10.18032
data/ 85.jpg,26500.82,0.199519,-0.09144,10.2108
data/ 86.jpg,26534.16,0.209573,-0.09144,10.2108
data/ 87.jpg,26567.49,0.215903,-0.09144,10.2108
data/ 88.jpg,26600.82,0.209198,-0.09144,10.2108
data/ 89.jpg,26634.16,0.206607,-0.09144,10.2108
data/ 90.jpg,26667.49,0.198417,-0.09144,10.2108
data/ 91.jpg,26700.82,0.202263,-0.09144,10.2108
data/ 92.jpg,26734.16,0.19087,-0.09144,10.2108
data/ 93.jpg,26767.49,0.187053,-0.09144,10.2108
data/ 94.jpg,26800.82,0.184519,-0.09144,10.2108
data/ 95.jpg,26834.15,0.20218,-0.09144,10.2108
data/ 96.jpg,26867.48,0.201022,-0.09144,10.2108
data/ 97.jpg,26900.81,0.208211,-0.09144,10.2108
data/ 98.jpg,26934.15,0.212851,-0.09144,10.2108
data/ 99.jpg,26967.48,0.204369,-0.09144,10.2108
data/ 100.jpg,27000.81,0.20858,-0.09144,10.2108
data/ 101.jpg,27034.15,0.221803,-0.09144,10.2108
data/ 102.jpg,27067.48,0.229163,-0.09144,10.2108
data/ 103.jpg,27100.81,0.225088,-0.09144,10.2108
data/ 104.jpg,27134.15,0.224863,-0.09144,10.2108
data/ 105.jpg,27167.47,0.216669,-0.09144,10.2108
data/ 106.jpg,27200.8,0.215722,-0.09144,10.2108
data/ 107.jpg,27234.14,0.229108,-0.09144,10.2108
data/ 108.jpg,27267.47,0.226737,-0.09144,10.2108
data/ 109.jpg,27300.8,0.231319,-0.09144,10.2108
data/ 110.jpg,27334.14,0.224606,-0.09144,10.2108
data/ 111.jpg,27367.47,0.220474,-0.09144,10.2108
data/ 112.jpg,27400.8,0.225032,-0.09144,10.2108
data/ 113.jpg,27434.14,0.227525,-0.09144,10.2108
data/ 114.jpg,27467.47,0.234666,-0.09144,10.2108
data/ 115.jpg,27500.79,0.24852,-0.09144,10.2108
data/ 116.jpg,27534.13,0.249463,-0.09144,10.2108
data/ 117.jpg,27567.46,0.245035,-0.09144,10.2108
data/ 118.jpg,27600.79,0.255228,-0.09144,10.2108
data/ 119.jpg,27634.13,0.249396,-0.09144,10.2108
data/ 120.jpg,27667.46,0.249836,-0.09144,10.2108
data/ 121.jpg,27700.79,0.244434,-0.09144,10.2108
data/ 122.jpg,27734.13,0.242383,-0.09144,10.2108
data/ 123.jpg,27767.46,0.237562,-0.09144,10.2108
data/ 124.jpg,27800.79,0.242265,-0.09144,10.2108
data/ 125.jpg,27834.12,0.232344,-0.09144,10.2108
data/ 126.jpg,27867.45,0.230972,-0.09144,10.2108
data/ 127.jpg,27900.78,0.24313,-0.09144,10.2108
data/ 128.jpg,27934.12,0.238933,-0.09144,10.2108
data/ 129.jpg,27967.45,0.233502,-0.09144,10.2108
data/ 130.jpg,28000.78,0.227918,-0.09144,10.2108
data/ 131.jpg,28034.12,0.227492,-0.09144,10.2108
data/ 132.jpg,28067.45,0.22999,-0.09144,10.2108
data/ 133.jpg,28100.78,0.224535,-0.09144,10.2108
data/ 134.jpg,28134.12,0.222539,-0.09144,10.2108
data/ 135.jpg,28167.44,0.213332,-0.09144,10.2108
data/ 136.jpg,28200.77,0.21757,-0.09144,10.2108
data/ 137.jpg,28234.11,0.222561,-0.09144,10.2108
data/ 138.jpg,28267.44,0.230177,-0.09144,10.2108
data/ 139.jpg,28300.77,0.22636,-0.09144,10.2108
data/ 140.jpg,28334.11,0.225804,-0.09144,10.2108
data/ 141.jpg,28367.44,0.221898,-0.09144,10.2108
data/ 142.jpg,28400.77,0.22456,-0.09144,10.2108
data/ 143.jpg,28434.11,0.22142,-0.09144,10.2108
data/ 144.jpg,28467.44,0.217009,-0.09144,10.2108
data/ 145.jpg,28500.76,0.232241,-0.09144,10.2108
data/ 146.jpg,28534.1,0.22736,-0.09144,10.2108
data/ 147.jpg,28567.43,0.216179,-0.09144,10.2108
data/ 148.jpg,28600.76,0.222617,-0.09144,10.2108
data/ 149.jpg,28634.1,0.238552,-0.09144,10.2108
data/ 150.jpg,28667.43,0.242157,-0.09144,10.2108
data/ 151.jpg,28700.76,0.239745,-0.09144,10.2108
data/ 152.jpg,28734.1,0.236301,-0.09144,10.2108
data/ 153.jpg,28767.43,0.251892,-0.12192,10.18032
data/ 154.jpg,28800.76,0.251573,-0.12192,10.18032
data/ 155.jpg,28834.09,0.245611,-0.12192,10.18032
data/ 156.jpg,28867.42,0.234346,-0.12192,10.18032
data/ 157.jpg,28900.75,0.218572,-0.12192,10.18032
data/ 158.jpg,28934.09,0.204733,-0.12192,10.18032
data/ 159.jpg,28967.42,0.198028,-0.12192,10.18032
data/ 160.jpg,29000.75,0.200063,-0.12192,10.18032
data/ 161.jpg,29034.09,0.202269,-0.12192,10.18032
data/ 162.jpg,29067.42,0.199245,-0.12192,10.18032
data/ 163.jpg,29100.75,0.211896,-0.12192,10.18032
data/ 164.jpg,29134.09,0.228155,-0.12192,10.18032
data/ 165.jpg,29167.41,0.222358,-0.12192,10.18032
data/ 166.jpg,29200.74,0.225536,-0.12192,10.18032
data/ 167.jpg,29234.08,0.226414,-0.12192,10.18032
data/ 168.jpg,29267.41,0.234373,-0.12192,10.18032
data/ 169.jpg,29300.74,0.234006,-0.12192,10.18032
data/ 170.jpg,29334.08,0.240589,-0.12192,10.18032
data/ 171.jpg,29367.41,0.232478,-0.12192,10.18032
data/ 172.jpg,29400.74,0.241409,-0.12192,10.18032
data/ 173.jpg,29434.08,0.246187,-0.12192,10.18032
data/ 174.jpg,29467.41,0.252674,-0.09144,10.2108
data/ 175.jpg,29500.73,0.256896,-0.09144,10.2108
data/ 176.jpg,29534.07,0.249908,-0.09144,10.2108
data/ 177.jpg,29567.4,0.240052,-0.09144,10.2108
data/ 178.jpg,29600.73,0.236085,-0.09144,10.2108
data/ 179.jpg,29634.07,0.238556,-0.09144,10.2108
data/ 180.jpg,29667.4,0.243428,-0.09144,10.2108
data/ 181.jpg,29700.73,0.25112,-0.09144,10.2108
data/ 182.jpg,29734.07,0.246097,-0.09144,10.2108
data/ 183.jpg,29767.4,0.25286,-0.09144,10.2108
data/ 184.jpg,29800.73,0.251239,-0.09144,10.2108
data/ 185.jpg,29834.06,0.242824,-0.09144,10.2108
data/ 186.jpg,29867.39,0.232596,-0.09144,10.2108
data/ 187.jpg,29900.72,0.241424,-0.09144,10.2108
data/ 188.jpg,29934.06,0.249656,-0.09144,10.2108
data/ 189.jpg,29967.39,0.257585,-0.09144,10.2108
data/ 190.jpg,30000.72,0.245415,-0.09144,10.2108
data/ 191.jpg,30034.06,0.240593,-0.09144,10.2108
data/ 192.jpg,30067.39,0.226358,-0.09144,10.2108
data/ 193.jpg,30100.72,0.217513,-0.09144,10.2108
data/ 194.jpg,30134.06,0.214191,-0.09144,10.2108
data/ 195.jpg,30167.38,0.204112,-0.09144,10.2108
data/ 196.jpg,30200.71,0.205255,-0.09144,10.2108
data/ 197.jpg,30234.05,0.210936,-0.09144,10.2108
data/ 198.jpg,30267.38,0.207231,-0.09144,10.2108
data/ 199.jpg,30300.71,0.201995,-0.09144,10.2108
data/ 200.jpg,30334.05,0.209338,-0.09144,10.2108
data/ 201.jpg,30367.38,0.215002,-0.09144,10.2108
data/ 202.jpg,30400.71,0.212775,-0.09144,10.2108
data/ 203.jpg,30434.05,0.213487,-0.09144,10.2108
data/ 204.jpg,30467.38,0.207777,-0.09144,10.2108
data/ 205.jpg,30500.7,0.195432,-0.09144,10.2108
data/ 206.jpg,30534.04,0.193282,-0.09144,10.2108
data/ 207.jpg,30567.37,0.199228,-0.09144,10.2108
data/ 208.jpg,30600.7,0.19812,-0.09144,10.2108
data/ 209.jpg,30634.04,0.19688,-0.09144,10.2108
data/ 210.jpg,30667.37,0.200639,-0.09144,10.2108
data/ 211.jpg,30700.7,0.193027,-0.09144,10.2108
data/ 212.jpg,30734.04,0.202782,-0.09144,10.2108
data/ 213.jpg,30767.37,0.210529,-0.09144,10.2108
data/ 214.jpg,30800.7,0.212708,-0.09144,10.2108
data/ 215.jpg,30834.03,0.217792,-0.09144,10.2108
data/ 216.jpg,30867.36,0.210731,-0.09144,10.2108
data/ 217.jpg,30900.69,0.208939,-0.09144,10.2108
data/ 218.jpg,30934.03,0.210968,-0.09144,10.2108
data/ 219.jpg,30967.36,0.219043,-0.09144,10.2108
data/ 220.jpg,31000.69,0.211729,-0.09144,10.2108
data/ 221.jpg,31034.03,0.202634,-0.09144,10.2108
data/ 222.jpg,31067.36,0.207777,-0.09144,10.2108
data/ 223.jpg,31100.69,0.194998,-0.09144,10.2108
data/ 224.jpg,31134.03,0.202063,-0.09144,10.2108
data/ 225.jpg,31167.35,0.195075,-0.09144,10.2108
data/ 226.jpg,31200.68,0.191544,-0.09144,10.2108
data/ 227.jpg,31234.02,0.204027,-0.09144,10.2108
data/ 228.jpg,31267.35,0.200285,-0.09144,10.2108
data/ 229.jpg,31300.68,0.204667,-0.09144,10.2108
data/ 230.jpg,31334.02,0.196556,-0.09144,10.2108
data/ 231.jpg,31367.35,0.191489,-0.09144,10.2108
data/ 232.jpg,31400.68,0.183416,-0.09144,10.2108
data/ 233.jpg,31434.02,0.179668,-0.09144,10.2108
data/ 234.jpg,31467.35,0.176057,-0.09144,10.2108
data/ 235.jpg,31500.67,0.169346,-0.09144,10.2108
data/ 236.jpg,31534.01,0.17123,-0.09144,10.2108
data/ 237.jpg,31567.34,0.167422,-0.09144,10.2108
data/ 238.jpg,31600.67,0.16751,-0.09144,10.2108
data/ 239.jpg,31634.01,0.172952,-0.09144,10.2108
data/ 240.jpg,31667.34,0.166917,-0.09144,10.2108
data/ 241.jpg,31700.67,0.181819,-0.09144,10.2108
data/ 242.jpg,31734.01,0.203883,-0.09144,10.2108
data/ 243.jpg,31767.34,0.21334,-0.09144,10.2108
data/ 244.jpg,31800.67,0.208381,-0.09144,10.2108
data/ 245.jpg,31834,0.202126,-0.09144,10.2108
data/ 246.jpg,31867.33,0.198979,-0.09144,10.2108
data/ 247.jpg,31900.66,0.196066,-0.09144,10.2108
data/ 248.jpg,31934,0.192232,-0.09144,10.2108
data/ 249.jpg,31967.33,0.184795,-0.09144,10.2108
data/ 250.jpg,32000.66,0.194062,-0.09144,10.2108
data/ 251.jpg,32034,0.195055,-0.09144,10.2108
data/ 252.jpg,32067.33,0.188523,-0.09144,10.2108
data/ 253.jpg,32100.66,0.182005,-0.09144,10.2108
data/ 254.jpg,32134,0.165229,-0.09144,10.2108
data/ 255.jpg,32167.32,0.172982,-0.09144,10.2108
data/ 256.jpg,32200.65,0.184537,-0.09144,10.2108
data/ 257.jpg,32233.99,0.181234,-0.09144,10.2108
data/ 258.jpg,32267.32,0.169831,-0.09144,10.2108
data/ 259.jpg,32300.65,0.162961,-0.09144,10.2108
data/ 260.jpg,32333.99,0.168786,-0.09144,10.2108
data/ 261.jpg,32367.32,0.176061,-0.09144,10.2108
data/ 262.jpg,32400.65,0.186078,-0.09144,10.2108
data/ 263.jpg,32433.99,0.184013,-0.09144,10.2108
data/ 264.jpg,32467.32,0.172492,-0.09144,10.2108
data/ 265.jpg,32500.64,0.17759,-0.09144,10.2108
